name,class,signature,capacity_code,flash_size,flash_guess,flash_match,page_size,page_guess,page_match
ATmega64RFR2,avr,1EA602,6,65536,65536,True,256,256,True
ATmega8,avr,1E9307,3,8192,8192,True,64,64,True
ATmega8515,avr,1E9306,3,8192,8192,True,64,64,True
ATmega8535,avr,1E9308,3,8192,8192,True,64,64,True
ATmega88,avr,1E930A,3,8192,8192,True,64,64,True
ATmega88A,avr,1E930A,3,8192,8192,True,64,64,True
ATmega88P,avr,1E930F,3,8192,8192,True,64,64,True
ATmega88PA,avr,1E930F,3,8192,8192,True,64,64,True
ATmega88PB,avr,1E9316,3,8192,8192,True,64,64,True
ATmega8A,avr,1E9307,3,8192,8192,True,64,64,True
ATmega8HVA,avr,1E9310,3,8192,8192,True,128,64,False
ATmega8U2,avr,1E9389,3,8192,8192,True,128,64,False
ATmegaS128,avr,1E9702,7,131072,131072,True,256,256,True
ATmegaS64M1,avr,1E9684,6,65536,65536,True,256,256,True
ATtiny12,avr,1E9005,0,1024,1024,True,,32,
ATtiny13,avr,1E9007,0,1024,1024,True,32,32,True
ATtiny13A,avr,1E9007,0,1024,1024,True,32,32,True
ATtiny15,avr,1E9006,0,1024,1024,True,,32,
ATtiny1634,avr,1E9412,4,16384,16384,True,32,128,False
ATtiny1634R,avr,1E9412,4,16384,16384,True,32,128,False
ATtiny167,avr,1E9487,4,16384,16384,True,128,128,True
ATtiny22,avr,1E9106,1,2048,2048,True,,32,
ATtiny2313,avr,1E910A,1,2048,2048,True,32,32,True
ATtiny2313A,avr,1E910A,1,2048,2048,True,32,32,True
ATtiny24,avr,1E910B,1,2048,2048,True,32,32,True
ATtiny24A,avr,1E910B,1,2048,2048,True,32,32,True
ATtiny25,avr,1E9108,1,2048,2048,True,32,32,True
ATtiny26,avr,1E9109,1,2048,2048,True,32,32,True
ATtiny261,avr,1E910C,1,2048,2048,True,32,32,True
ATtiny261A,avr,1E910C,1,2048,2048,True,32,32,True
ATtiny4313,avr,1E920D,2,4096,4096,True,64,64,True
ATtiny43U,avr,1E920C,2,4096,4096,True,64,64,True
ATtiny44,avr,1E9207,2,4096,4096,True,64,64,True
ATtiny441,avr,1E9215,2,4096,4096,True,16,64,False
ATtiny44A,avr,1E9207,2,4096,4096,True,64,64,True
ATtiny45,avr,1E9206,2,4096,4096,True,64,64,True
ATtiny461,avr,1E9208,2,4096,4096,True,64,64,True
ATtiny461A,avr,1E9208,2,4096,4096,True,64,64,True
ATtiny48,avr,1E9209,2,4096,4096,True,64,64,True
ATtiny828,avr,1E9314,3,8192,8192,True,64,64,True
ATtiny828R,avr,1E9314,3,8192,8192,True,64,64,True
ATtiny84,avr,1E930C,3,8192,8192,True,64,64,True
ATtiny841,avr,1E9315,3,8192,8192,True,16,64,False
ATtiny84A,avr,1E930C,3,8192,8192,True,64,64,True
ATtiny85,avr,1E930B,3,8192,8192,True,64,64,True
ATtiny861,avr,1E930D,3,8192,8192,True,64,64,True
ATtiny861A,avr,1E930D,3,8192,8192,True,64,64,True
ATtiny87,avr,1E9387,3,8192,8192,True,128,64,False
ATtiny88,avr,1E9311,3,8192,8192,True,64,64,True
LGT8F168P,avr-compatible,1E940B,4,16384,16384,True,128,128,True
LGT8F328P,avr-compatible,1E950F,5,32768,32768,True,128,128,True
LGT8F88P,avr-compatible,1E930F,3,8192,8192,True,64,64,True
AT89S51,non-avr-spi-programmable,1E5106,1,4096,2048,False,,32,
AT89S52,non-avr-spi-programmable,1E5206,2,8192,4096,False,,64,
