id,name,avrdude_id,vendor,class,family,signature,flash_size,flash_page_size,flash_paged,eeprom_size,eeprom_page_size,chip_erase_delay_us,fuse_count,lock_mask,progisp_match,microchip_atdf_match,metadata_status,qt_backend_status,blockers
atmega3250pa,ATmega3250PA,m3250pa,Microchip/Atmel,avr,ATmega,1E950E,32768,128,True,1024,4,9000,3,63,False,False,avrdude-selected,supported,
atmega325a,ATmega325A,m325a,Microchip/Atmel,avr,ATmega,1E9505,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
atmega325p,ATmega325P,m325p,Microchip/Atmel,avr,ATmega,1E950D,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
atmega325pa,ATmega325PA,m325pa,Microchip/Atmel,avr,ATmega,1E950D,32768,128,True,1024,4,9000,3,63,False,False,avrdude-selected,supported,
atmega328,ATmega328,m328,Microchip/Atmel,avr,ATmega,1E9514,32768,128,True,1024,4,9000,3,63,False,False,avrdude-selected,supported,
atmega328p,ATmega328P,m328p,Microchip/Atmel,avr,ATmega,1E950F,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
atmega328pb,ATmega328PB,m328pb,Microchip/Atmel,avr,ATmega,1E9516,32768,128,True,1024,4,10500,3,63,False,False,avrdude-selected,supported,
atmega329,ATmega329,m329,Microchip/Atmel,avr,ATmega,1E9503,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega3290,ATmega3290,m3290,Microchip/Atmel,avr,ATmega,1E9504,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega3290a,ATmega3290A,m3290a,Microchip/Atmel,avr,ATmega,1E9504,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega3290p,ATmega3290P,m3290p,Microchip/Atmel,avr,ATmega,1E950C,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega3290pa,ATmega3290PA,m3290pa,Microchip/Atmel,avr,ATmega,1E950C,32768,128,True,1024,4,9000,3,63,False,False,avrdude-selected,supported,
atmega329a,ATmega329A,m329a,Microchip/Atmel,avr,ATmega,1E9503,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega329p,ATmega329P,m329p,Microchip/Atmel,avr,ATmega,1E950B,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega329pa,ATmega329PA,m329pa,Microchip/Atmel,avr,ATmega,1E950B,32768,128,True,1024,4,9000,3,63,False,False,avrdude-selected,supported,
atmega32a,ATmega32A,m32a,Microchip/Atmel,avr,ATmega,1E9502,32768,128,True,1024,4,9000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega32c1,ATmega32C1,m32c1,Microchip/Atmel,avr,ATmega,1E9586,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega32hvb,ATmega32HVB,m32hvb,Microchip/Atmel,avr,ATmega,1E9510,32768,128,True,1024,4,4000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega32hvbrevb,ATmega32HVBrevB,m32hvbrevb,Microchip/Atmel,avr,ATmega,1E9510,32768,128,True,1024,4,4000,2,63,False,False,avrdude-selected,supported,
atmega32hve2,ATmega32HVE2,m32hve2,Microchip/Atmel,avr,ATmega,1E9513,32768,128,True,1024,4,4000,2,63,False,False,avrdude-selected,supported,
atmega32m1,ATmega32M1,m32m1,Microchip/Atmel,avr,ATmega,1E9584,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega32u2,ATmega32U2,m32u2,Microchip/Atmel,avr,ATmega,1E958A,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega32u4,ATmega32U4,m32u4,Microchip/Atmel,avr,ATmega,1E9587,32768,128,True,1024,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega48,ATmega48,m48,Microchip/Atmel,avr,ATmega,1E9205,4096,64,True,256,4,45000,3,3,True,False,avrdude-selected+progisp-agrees,supported,
atmega48a,ATmega48A,m48a,Microchip/Atmel,avr,ATmega,1E9205,4096,64,True,256,4,45000,3,3,True,False,avrdude-selected+progisp-agrees,supported,
atmega48p,ATmega48P,m48p,Microchip/Atmel,avr,ATmega,1E920A,4096,64,True,256,4,45000,3,3,True,False,avrdude-selected+progisp-agrees,supported,
atmega48pa,ATmega48PA,m48pa,Microchip/Atmel,avr,ATmega,1E920A,4096,64,True,256,4,45000,3,3,True,False,avrdude-selected+progisp-agrees,supported,
atmega48pb,ATmega48PB,m48pb,Microchip/Atmel,avr,ATmega,1E9210,4096,64,True,256,4,10500,3,3,False,False,avrdude-selected,supported,
atmega64,ATmega64,m64,Microchip/Atmel,avr,ATmega,1E9602,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega640,ATmega640,m640,Microchip/Atmel,avr,ATmega,1E9608,65536,256,True,4096,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega644,ATmega644,m644,Microchip/Atmel,avr,ATmega,1E9609,65536,256,True,2048,8,55000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
atmega644a,ATmega644A,m644a,Microchip/Atmel,avr,ATmega,1E9609,65536,256,True,2048,8,55000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
atmega644p,ATmega644P,m644p,Microchip/Atmel,avr,ATmega,1E960A,65536,256,True,2048,8,55000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega644pa,ATmega644PA,m644pa,Microchip/Atmel,avr,ATmega,1E960A,65536,256,True,2048,8,55000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega644rfr2,ATmega644RFR2,m644rfr2,Microchip/Atmel,avr,ATmega,1EA603,65536,256,True,2048,8,18500,3,63,False,False,avrdude-selected,supported,
atmega645,ATmega645,m645,Microchip/Atmel,avr,ATmega,1E9605,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega6450,ATmega6450,m6450,Microchip/Atmel,avr,ATmega,1E9606,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega6450a,ATmega6450A,m6450a,Microchip/Atmel,avr,ATmega,1E9606,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega6450p,ATmega6450P,m6450p,Microchip/Atmel,avr,ATmega,1E960E,65536,256,True,2048,8,9000,3,63,False,False,avrdude-selected,supported,
atmega645a,ATmega645A,m645a,Microchip/Atmel,avr,ATmega,1E9605,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega645p,ATmega645P,m645p,Microchip/Atmel,avr,ATmega,1E960D,65536,256,True,2048,8,9000,3,63,False,False,avrdude-selected,supported,
atmega649,ATmega649,m649,Microchip/Atmel,avr,ATmega,1E9603,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega6490,ATmega6490,m6490,Microchip/Atmel,avr,ATmega,1E9604,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega6490a,ATmega6490A,m6490a,Microchip/Atmel,avr,ATmega,1E9604,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega6490p,ATmega6490P,m6490p,Microchip/Atmel,avr,ATmega,1E960C,65536,256,True,2048,8,9000,3,63,False,False,avrdude-selected,supported,
atmega649a,ATmega649A,m649a,Microchip/Atmel,avr,ATmega,1E9603,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega649p,ATmega649P,m649p,Microchip/Atmel,avr,ATmega,1E960B,65536,256,True,2048,8,9000,3,63,False,False,avrdude-selected,supported,
atmega64a,ATmega64A,m64a,Microchip/Atmel,avr,ATmega,1E9602,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega64c1,ATmega64C1,m64c1,Microchip/Atmel,avr,ATmega,1E9686,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega64hve2,ATmega64HVE2,m64hve2,Microchip/Atmel,avr,ATmega,1E9610,65536,128,True,1024,4,4000,2,63,False,False,avrdude-selected,supported,
atmega64m1,ATmega64M1,m64m1,Microchip/Atmel,avr,ATmega,1E9684,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega64rfr2,ATmega64RFR2,m64rfr2,Microchip/Atmel,avr,ATmega,1EA602,65536,256,True,2048,8,18500,3,63,False,False,avrdude-selected,supported,
atmega8,ATmega8,m8,Microchip/Atmel,avr,ATmega,1E9307,8192,64,True,512,4,9000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega8515,ATmega8515,m8515,Microchip/Atmel,avr,ATmega,1E9306,8192,64,True,512,,9000,2,63,True,False,avrdude-selected+progisp-disagrees,not-yet-supported,current backend lacks byte-write EEPROM metadata
atmega8535,ATmega8535,m8535,Microchip/Atmel,avr,ATmega,1E9308,8192,64,True,512,,9000,2,63,True,False,avrdude-selected+progisp-disagrees,not-yet-supported,current backend lacks byte-write EEPROM metadata
atmega88,ATmega88,m88,Microchip/Atmel,avr,ATmega,1E930A,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega88a,ATmega88A,m88a,Microchip/Atmel,avr,ATmega,1E930A,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega88p,ATmega88P,m88p,Microchip/Atmel,avr,ATmega,1E930F,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega88pa,ATmega88PA,m88pa,Microchip/Atmel,avr,ATmega,1E930F,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega88pb,ATmega88PB,m88pb,Microchip/Atmel,avr,ATmega,1E9316,8192,64,True,512,4,10500,3,63,False,False,avrdude-selected,supported,
atmega8a,ATmega8A,m8a,Microchip/Atmel,avr,ATmega,1E9307,8192,64,True,512,4,9000,2,63,True,False,avrdude-selected+progisp-agrees,supported,
atmega8hva,ATmega8HVA,m8hva,Microchip/Atmel,avr,ATmega,1E9310,8192,128,True,256,4,4000,1,3,True,False,avrdude-selected+progisp-agrees,supported,
atmega8u2,ATmega8U2,m8u2,Microchip/Atmel,avr,ATmega,1E9389,8192,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
atmegas128,ATmegaS128,ms128,Microchip/Atmel,avr,ATmega,1E9702,131072,256,True,4096,8,10000,3,63,False,False,avrdude-selected,supported,
atmegas64m1,ATmegaS64M1,ms64m1,Microchip/Atmel,avr,ATmega,1E9684,65536,256,True,2048,8,10500,3,63,False,False,avrdude-selected,supported,
