name,signature,avrdude,progisp,microchip_atdf,signature_flash_check,signature_page_check,app_ready
ATtiny44A,1E9207,True,True,False,True,True,True
ATtiny45,1E9206,True,True,False,True,True,True
ATtiny461,1E9208,True,True,False,True,True,True
ATtiny461A,1E9208,True,True,False,True,True,True
ATtiny48,1E9209,True,True,False,True,True,True
ATtiny828,1E9314,True,False,False,True,True,True
ATtiny828R,1E9314,True,False,False,True,True,True
ATtiny84,1E930C,True,True,False,True,True,True
ATtiny841,1E9315,True,False,False,True,False,True
ATtiny84A,1E930C,True,True,False,True,True,True
ATtiny85,1E930B,True,True,False,True,True,True
ATtiny861,1E930D,True,True,False,True,True,True
ATtiny861A,1E930D,True,True,False,True,True,True
ATtiny87,1E9387,True,False,False,True,False,True
ATtiny88,1E9311,True,True,False,True,True,True
LGT8F168P,1E940B,True,False,False,True,True,False
LGT8F328P,1E950F,True,False,False,True,True,False
LGT8F88P,1E930F,True,False,False,True,True,False
AT89S51,1E5106,True,False,False,False,,False
AT89S52,1E5206,True,False,False,False,,False
